"Total"	"Blue"	"Green"	"Red"	"Brown"	"Yellow"	"Orange"	"Weight"
57	11	11	5	4	8	18	50
58	16	13	8	4	5	12	51
55	9	11	8	6	9	12	49
57	16	12	3	7	2	17	51
55	13	7	6	9	9	11	49
55	15	7	10	8	6	9	49
49	9	11	10	6	9	9	49
55	9	13	5	6	12	10	48
54	17	8	6	6	6	11	48
55	6	15	9	6	7	12	48
55	8	8	11	13	6	9	49
56	9	12	10	7	12	6	50
58	11	16	5	7	7	12	51
62	15	10	8	5	6	21	49
57	11	14	5	11	5	11	50
63	27	14	11	4	6	1	51
56	9	10	8	10	8	11	49
52	10	9	2	12	5	14	47
56	13	10	5	4	9	15	50
58	11	7	11	2	11	16	50
57	13	9	10	6	9	10	50
55	12	12	4	3	11	13	49
55	10	10	4	10	6	15	49
